,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-03-31 22:52:00,1.15577,1.15578,1.15577,1.15577,3.0,1.1557263081542,1.1556663403857015,0,,
2026-03-31 22:53:00,1.15577,1.15578,1.15571,1.15573,13.0,1.15572704652336,1.1556721276233648,0,,
2026-03-31 22:54:00,1.15572,1.15577,1.15572,1.15577,6.0,1.155735637218688,1.1556810251121499,0,,
2026-03-31 22:55:00,1.15577,1.15578,1.15573,1.15577,6.0,1.1557425097749505,1.155689113738318,0,,
2026-03-31 22:56:00,1.15577,1.15583,1.15577,1.15582,9.0,1.1557580078199605,1.15570101248938,0,,
2026-03-31 22:57:00,1.15582,1.15589,1.15582,1.15589,10.0,1.1557844062559686,1.1557181931721636,0,,
2026-03-31 22:58:00,1.15589,1.15589,1.1558,1.15582,11.0,1.155791525004775,1.1557274483383304,0,,
2026-03-31 22:59:00,1.15582,1.15582,1.1558,1.15582,6.0,1.1557972200038202,1.1557358621257547,0,,
2026-03-31 23:00:00,1.15582,1.15584,1.15581,1.15584,10.0,1.1558057760030562,1.1557453292052315,0,,
2026-03-31 23:01:00,1.15584,1.15587,1.15574,1.15582,31.0,1.155808620802445,1.1557521174593013,0,,
2026-03-31 23:02:00,1.15581,1.15582,1.1558,1.15582,14.0,1.155810896641956,1.1557582885993647,0,,
2026-03-31 23:03:00,1.15582,1.15583,1.15567,1.15568,20.0,1.155784717313565,1.1557511714539679,0,,
2026-03-31 23:04:00,1.15567,1.15572,1.15567,1.15572,9.0,1.155771773850852,1.1557483376854254,0,,
2026-03-31 23:05:00,1.15572,1.15572,1.15567,1.15571,15.0,1.1557594190806817,1.1557448524412957,0,,
2026-03-31 23:06:00,1.15571,1.15587,1.15571,1.15584,19.0,1.1557755352645454,1.1557535022193597,0,,
2026-03-31 23:07:00,1.15584,1.15597,1.15584,1.15597,10.0,1.1558144282116363,1.1557731838357816,0,,
2026-03-31 23:08:00,1.15597,1.15599,1.15594,1.15594,10.0,1.155839542569309,1.1557883489416196,0,,
2026-03-31 23:09:00,1.15595,1.15598,1.15595,1.15596,4.0,1.1558636340554473,1.1558039535832905,0,,
2026-03-31 23:10:00,1.15596,1.15606,1.15596,1.15601,18.0,1.155892907244358,1.1558226850757185,0,,
2026-03-31 23:11:00,1.15601,1.15601,1.15581,1.15582,21.0,1.1558783257954865,1.1558224409779259,0,,
2026-03-31 23:12:00,1.15582,1.1559,1.15582,1.1559,9.0,1.1558826606363892,1.1558294917981145,0,,
2026-03-31 23:13:00,1.15588,1.15602,1.15587,1.15602,19.0,1.1559101285091113,1.1558468107255586,0,,
2026-03-31 23:14:00,1.15602,1.15605,1.15602,1.15605,4.0,1.1559381028072893,1.1558652824777804,0,,
2026-03-31 23:15:00,1.15605,1.15612,1.156,1.1561,21.0,1.1559704822458314,1.1558866204343459,0,,
